index,unique_id,ds,Chronos
0,hotel_0,2023-07-01 00:00:00,0.7972443103790283
1,hotel_0,2023-07-02 00:00:00,0.6721218228340149
2,hotel_0,2023-07-03 00:00:00,0.6421823501586914
3,hotel_0,2023-07-04 00:00:00,0.6847838163375854
4,hotel_0,2023-07-05 00:00:00,0.740638256072998
5,hotel_0,2023-07-06 00:00:00,0.7949665188789368
6,hotel_0,2023-07-07 00:00:00,0.8421245217323303
7,hotel_0,2023-07-08 00:00:00,0.8633701205253601
8,hotel_0,2023-07-09 00:00:00,0.7642300724983215
9,hotel_0,2023-07-10 00:00:00,0.7584511041641235
10,hotel_0,2023-07-11 00:00:00,0.8016878366470337
11,hotel_0,2023-07-12 00:00:00,0.8242281079292297
12,hotel_0,2023-07-13 00:00:00,0.8325571417808533
13,hotel_0,2023-07-14 00:00:00,0.8477005958557129
14,hotel_0,2023-07-15 00:00:00,0.8301084637641907
15,hotel_0,2023-07-16 00:00:00,0.6833908557891846
16,hotel_0,2023-07-17 00:00:00,0.643245279788971
17,hotel_0,2023-07-18 00:00:00,0.6757723093032837
18,hotel_0,2023-07-19 00:00:00,0.7178651690483093
19,hotel_0,2023-07-20 00:00:00,0.766060471534729
20,hotel_0,2023-07-21 00:00:00,0.8050323724746704
21,hotel_0,2023-07-22 00:00:00,0.8136518597602844
22,hotel_0,2023-07-23 00:00:00,0.70255446434021
23,hotel_0,2023-07-24 00:00:00,0.6774711608886719
24,hotel_0,2023-07-25 00:00:00,0.6961906552314758
25,hotel_0,2023-07-26 00:00:00,0.7238777279853821
26,hotel_0,2023-07-27 00:00:00,0.7557321786880493
27,hotel_0,2023-07-28 00:00:00,0.7967407703399658
28,hotel_105,2023-07-01 00:00:00,0.9959447979927063
29,hotel_105,2023-07-02 00:00:00,0.9867053031921387
30,hotel_105,2023-07-03 00:00:00,0.9882519245147705
31,hotel_105,2023-07-04 00:00:00,1.002388834953308
32,hotel_105,2023-07-05 00:00:00,1.0148566961288452
33,hotel_105,2023-07-06 00:00:00,1.0161811113357544
34,hotel_105,2023-07-07 00:00:00,1.0105522871017456
35,hotel_105,2023-07-08 00:00:00,1.0005635023117065
36,hotel_105,2023-07-09 00:00:00,0.9916932582855225
37,hotel_105,2023-07-10 00:00:00,0.9957020878791809
38,hotel_105,2023-07-11 00:00:00,1.0080058574676514
39,hotel_105,2023-07-12 00:00:00,1.019609808921814
40,hotel_105,2023-07-13 00:00:00,1.018097996711731
41,hotel_105,2023-07-14 00:00:00,1.0061991214752197
42,hotel_105,2023-07-15 00:00:00,0.9885727763175964
43,hotel_105,2023-07-16 00:00:00,0.9784480929374695
44,hotel_105,2023-07-17 00:00:00,0.980436384677887
45,hotel_105,2023-07-18 00:00:00,0.9942718744277954
46,hotel_105,2023-07-19 00:00:00,1.0037707090377808
47,hotel_105,2023-07-20 00:00:00,1.0007386207580566
48,hotel_105,2023-07-21 00:00:00,0.994354248046875
49,hotel_105,2023-07-22 00:00:00,0.986626386642456
50,hotel_105,2023-07-23 00:00:00,0.9770331382751465
51,hotel_105,2023-07-24 00:00:00,0.9778575301170349
