unique_id,metric,Naive,SeasonalNaive,AutoETS,AutoARIMA,LightGBM,NBEATS,NHITS,Chronos
hotel_0,bias,0.08201058201058199,0.029805996472663125,-0.0073840463803174885,0.052846699823221224,0.04189936131519514,0.022478699686771166,0.031412472472094166,0.05786635471504624
hotel_0,mae,0.1947089947089947,0.21428571428571425,0.18431418789291926,0.16415175074771807,0.13905867562543794,0.1554969901839892,0.15274313766331898,0.15522165227504003
hotel_0,mape,0.34109032172192555,0.3541912145633045,0.297295999738063,0.28300752470015733,0.23755106523601413,0.2615318384816511,0.25830674270018167,0.2745530263470134
hotel_0,rmse,0.23822556215497825,0.2527854649096398,0.21609756844663036,0.19558561117818835,0.16928089590446,0.1875439761433912,0.18535351083450088,0.1871221752080048
hotel_105,bias,0.05318957771787962,-0.0738544474393531,-0.06242746666528178,-0.0609425398616936,-0.06550888119491033,-0.03574198895441126,-0.041279401376455194,-0.025064930598262408
hotel_105,mae,0.12003593890386344,0.10530098831985624,0.10214192290978037,0.0983935637413111,0.1289128808554009,0.0928939618431333,0.09372084782879737,0.0878048833891388
hotel_105,mape,0.16684634338392626,0.1221077170985384,0.11932141359835342,0.11705827328784531,0.1538083553117902,0.11197244267787405,0.11282822006025461,0.1098808248979523
hotel_105,rmse,0.1444356785701646,0.13175294360819984,0.1284798290805862,0.11704465849795798,0.14774820144928572,0.11256494676390016,0.11342051146175572,0.10635796228279208
hotel_112,bias,-0.06464285714285713,-0.01642857142857144,-0.036696533630481705,-0.015855824320654605,-0.0160688675426239,0.009423983267375393,0.013849468486649644,0.02070779391697474
hotel_112,mae,0.14125000000000001,0.11357142857142857,0.10576777422269998,0.09066279331543797,0.09506800398599494,0.08653798103332519,0.08818670128073011,0.08875115292412894
hotel_112,mape,0.162639749521374,0.13375194366081616,0.12247717554135953,0.10677083870654862,0.11198410929083588,0.10491512135632217,0.10732940190391956,0.10876101526718167
hotel_112,rmse,0.16562101684742805,0.1391829468623606,0.1255994747773856,0.10638195032307991,0.11485545570032152,0.10194116992400852,0.1037573091932803,0.10497940207247398
hotel_126,bias,0.0095617529880478,-0.0004553215708594224,-0.03734164693475655,-0.0031154893454281444,-0.03002473763253008,-0.012027338623797009,-0.015259857739517485,0.00018319652782085687
hotel_126,mae,0.03551508252703472,0.046215139442231074,0.061687988900823144,0.046028651042030605,0.05978888667166392,0.046871547357698155,0.047614186730789196,0.039327268208301264
hotel_126,mape,0.041660529942726794,0.05313653301037442,0.06609077160206464,0.051166768490911084,0.06477369844785903,0.051638860327617185,0.05188969886239007,0.045390806846823825
hotel_126,rmse,0.04912612360746021,0.0714303995979512,0.07491466132489293,0.05816345596567981,0.0740249595986892,0.05853217989992232,0.05984842129672254,0.0522456097924601
hotel_133,bias,0.01451990632318501,-0.017798594847775167,-0.030077199593707294,-0.038196034085641165,-0.027045432348152532,-0.01776445695052939,-0.024867725539821646,-0.020737266708034535
hotel_133,mae,0.10749414519906324,0.1072599531615925,0.10018135834563965,0.11203127351753565,0.09807841138208202,0.09906121451904959,0.10224087838545896,0.08699549495196732
hotel_133,mape,0.13583397063031105,0.1366798391343051,0.12115928958290734,0.1382109815868941,0.12257700258875026,0.1255761692405703,0.12873294893290405,0.11112053697663363
hotel_133,rmse,0.13483065977969913,0.13622438881335597,0.11858757582563864,0.1321631562549232,0.12098597310218029,0.11847362369683763,0.1220993598577144,0.10349420290046787
hotel_14,bias,0.05026954177897576,-0.0012129380053908345,0.003294282277537794,0.011077309805337781,0.055772017243476225,0.022514449586122823,0.023434215884485007,0.009334225840163675
hotel_14,mae,0.15026954177897575,0.11859838274932614,0.11228648850223126,0.10277223378965698,0.10742526723395614,0.11836976775261913,0.11430487345572753,0.08834239573411222
hotel_14,mape,0.24213389511551667,0.18367868999486409,0.17472352649321873,0.1641826081164584,0.17792197814107988,0.18654845608048337,0.18229960353848387,0.1376817935963778
hotel_14,rmse,0.17723127702737504,0.14938432032386867,0.13667059720960706,0.12597842381505583,0.13728293104015088,0.1421213275636448,0.1400462791833159,0.11263975637438084
hotel_21,bias,0.017691798941798932,-0.015906084656084663,0.008787268385847662,-0.009930523343339187,-0.018204456257895525,0.003235247163545522,0.003997062643369044,0.0061172913937341655
hotel_21,mae,0.02999338624338623,0.0462632275132275,0.03168280298302324,0.04086828314949596,0.04417737588629844,0.03220361699818303,0.03217061374868665,0.030038612103336065
hotel_21,mape,0.03350900159664464,0.04870432115496731,0.034736799592919414,0.043844847785482435,0.04670755795348487,0.03516857128468445,0.03506592926080596,0.033133219222904554
hotel_21,rmse,0.04424496543893337,0.0668102288791601,0.043454492075509374,0.051996380945794306,0.056597657739461495,0.04370724740380405,0.043696784517503466,0.041629517300566285
hotel_28,bias,-0.008809523809523809,-0.008809523809523809,-0.002487533330560389,-0.009464647675001743,-0.0032510810243019024,-0.014320239577265012,-0.00845877380465113,-0.01333673968201592
hotel_28,mae,0.008809523809523809,0.008809523809523809,0.017970257922602335,0.00956870432658093,0.013054502247096447,0.014652801670488857,0.010813323976693764,0.013899630194618586
hotel_28,mape,1.0,1.0,1.017069378006172,1.022765089205592,0.5451168042115818,1.5200571511927397,0.9489521363962731,1.3990257720900998
hotel_28,rmse,0.029035877791236266,0.029035877791236266,0.03993012754403058,0.02974881219413939,0.03140400216090691,0.03430743168369038,0.030779328811017182,0.03341717741266712
hotel_35,bias,-0.13916015625,-0.08162667410714286,-0.10762423083841928,-0.1699547086869798,0.009889006561253315,-0.06253704811845506,-0.061564823133604875,-0.14979709493262428
hotel_35,mae,0.16647600446428573,0.16823381696428572,0.14736497033170434,0.1850359194924023,0.10372229855917617,0.13369634449481965,0.13054881819656916,0.17296448796987535
hotel_35,mape,0.22117279318021604,0.23742467823317703,0.1989453893850444,0.24234280982295636,0.15684042520199293,0.18778267225138784,0.1838572807809143,0.23006547676110842
hotel_35,rmse,0.19080251954139588,0.19467203314549014,0.17093729826425902,0.21356934021726434,0.12221133256333247,0.15379411090903053,0.1499794359296888,0.1989797944040305
