index,unique_id,ds,NBEATS,NHITS
0,hotel_0,2023-07-01 00:00:00,0.9151692986488342,0.9114491939544678
1,hotel_0,2023-07-02 00:00:00,0.5977388620376587,0.619989275932312
2,hotel_0,2023-07-03 00:00:00,0.637416660785675,0.5934390425682068
3,hotel_0,2023-07-04 00:00:00,0.7237345576286316,0.701771080493927
4,hotel_0,2023-07-05 00:00:00,0.727125346660614,0.747524082660675
5,hotel_0,2023-07-06 00:00:00,0.7399479746818542,0.739800751209259
6,hotel_0,2023-07-07 00:00:00,0.8626950979232788,0.8506357669830322
7,hotel_0,2023-07-08 00:00:00,0.9412595629692078,0.9287955164909363
8,hotel_0,2023-07-09 00:00:00,0.653117299079895,0.6406188607215881
9,hotel_0,2023-07-10 00:00:00,0.6363057494163513,0.6094549298286438
10,hotel_0,2023-07-11 00:00:00,0.7584829330444336,0.7227711081504822
11,hotel_0,2023-07-12 00:00:00,0.7468938231468201,0.7640451192855835
12,hotel_0,2023-07-13 00:00:00,0.7437120079994202,0.7414697408676147
13,hotel_0,2023-07-14 00:00:00,0.8410419821739197,0.8791447877883911
14,hotel_0,2023-07-15 00:00:00,0.9489469528198242,0.926176905632019
15,hotel_0,2023-07-16 00:00:00,0.6352088451385498,0.6338644623756409
16,hotel_0,2023-07-17 00:00:00,0.65179842710495,0.6141564846038818
17,hotel_0,2023-07-18 00:00:00,0.7471030354499817,0.7288241982460022
18,hotel_0,2023-07-19 00:00:00,0.7758274674415588,0.7581945061683655
19,hotel_0,2023-07-20 00:00:00,0.7643011212348938,0.7412976622581482
20,hotel_0,2023-07-21 00:00:00,0.8240375518798828,0.8808900117874146
21,hotel_0,2023-07-22 00:00:00,0.8978191614151001,0.9324354529380798
22,hotel_0,2023-07-23 00:00:00,0.6212999224662781,0.6751642227172852
23,hotel_0,2023-07-24 00:00:00,0.6446810960769653,0.6285585165023804
24,hotel_0,2023-07-25 00:00:00,0.720764696598053,0.7385156154632568
25,hotel_0,2023-07-26 00:00:00,0.7446533441543579,0.7776066064834595
26,hotel_0,2023-07-27 00:00:00,0.7810670733451843,0.7545462846755981
27,hotel_0,2023-07-28 00:00:00,0.8488737344741821,0.8831741809844971
28,hotel_105,2023-07-01 00:00:00,0.9915519952774048,1.003917932510376
29,hotel_105,2023-07-02 00:00:00,0.9841504096984863,0.9779963493347168
30,hotel_105,2023-07-03 00:00:00,1.0019904375076294,0.993147075176239
31,hotel_105,2023-07-04 00:00:00,1.0181292295455933,1.027050495147705
32,hotel_105,2023-07-05 00:00:00,1.0119383335113525,1.017340064048767
33,hotel_105,2023-07-06 00:00:00,0.9987838268280029,0.9806175827980042
34,hotel_105,2023-07-07 00:00:00,0.9900825619697571,0.9914162755012512
35,hotel_105,2023-07-08 00:00:00,0.9894545674324036,0.9970386624336243
36,hotel_105,2023-07-09 00:00:00,0.9787295460700989,0.9727445840835571
37,hotel_105,2023-07-10 00:00:00,1.003635048866272,0.9947294592857361
38,hotel_105,2023-07-11 00:00:00,1.0173033475875854,1.0238969326019287
39,hotel_105,2023-07-12 00:00:00,1.0121246576309204,1.0104085206985474
40,hotel_105,2023-07-13 00:00:00,0.9968220591545105,0.9699691534042358
41,hotel_105,2023-07-14 00:00:00,0.9880579113960266,0.988176703453064
42,hotel_105,2023-07-15 00:00:00,0.9836101531982422,0.98997563123703
43,hotel_105,2023-07-16 00:00:00,0.9691842794418335,0.9616539478302002
44,hotel_105,2023-07-17 00:00:00,0.9949790835380554,0.9848512411117554
45,hotel_105,2023-07-18 00:00:00,1.017983078956604,1.0206786394119263
46,hotel_105,2023-07-19 00:00:00,1.00239098072052,1.0112745761871338
47,hotel_105,2023-07-20 00:00:00,0.9986822605133057,0.9683071970939636
48,hotel_105,2023-07-21 00:00:00,0.9953391551971436,0.9896245002746582
49,hotel_105,2023-07-22 00:00:00,0.9861598014831543,0.9926905632019043
50,hotel_105,2023-07-23 00:00:00,0.9729384779930115,0.9671399593353271
51,hotel_105,2023-07-24 00:00:00,0.9897205233573914,0.9885087013244629
52,hotel_105,2023-07-25 00:00:00,1.020363450050354,1.0216302871704102
53,hotel_105,2023-07-26 00:00:00,1.0094057321548462,1.006998062133789
54,hotel_105,2023-07-27 00:00:00,0.9861767888069153,0.9660876393318176
55,hotel_105,2023-07-28 00:00:00,0.9876599907875061,0.98671555519104
56,hotel_112,2023-07-01 00:00:00,0.9435511827468872,0.9342770576477051
57,hotel_112,2023-07-02 00:00:00,0.9234691858291626,0.9055129885673523
58,hotel_112,2023-07-03 00:00:00,0.9238633513450623,0.9104183912277222
59,hotel_112,2023-07-04 00:00:00,0.9406853914260864,0.9295063018798828
60,hotel_112,2023-07-05 00:00:00,0.9459742903709412,0.9437330961227417
61,hotel_112,2023-07-06 00:00:00,0.9532274603843689,0.9372953176498413
62,hotel_112,2023-07-07 00:00:00,0.9225420951843262,0.9222829341888428
63,hotel_112,2023-07-08 00:00:00,0.9353007078170776,0.9053801894187927
64,hotel_112,2023-07-09 00:00:00,0.9048933982849121,0.8832970857620239
65,hotel_112,2023-07-10 00:00:00,0.9188907742500305,0.8977014422416687
66,hotel_112,2023-07-11 00:00:00,0.9333616495132446,0.9207450747489929
67,hotel_112,2023-07-12 00:00:00,0.9568043351173401,0.9299266338348389
68,hotel_112,2023-07-13 00:00:00,0.9451116323471069,0.9161973595619202
