index,unique_id,ds,LightGBM
0,hotel_0,2023-07-01 00:00:00,0.875482627200853
1,hotel_0,2023-07-02 00:00:00,0.6512055585601654
2,hotel_0,2023-07-03 00:00:00,0.599974728855164
3,hotel_0,2023-07-04 00:00:00,0.6648767550531232
4,hotel_0,2023-07-05 00:00:00,0.6998508740473971
5,hotel_0,2023-07-06 00:00:00,0.6763790358091962
6,hotel_0,2023-07-07 00:00:00,0.808601311429281
7,hotel_0,2023-07-08 00:00:00,0.8818471068636486
8,hotel_0,2023-07-09 00:00:00,0.6207093850655754
9,hotel_0,2023-07-10 00:00:00,0.6927909061336851
10,hotel_0,2023-07-11 00:00:00,0.7680439372076484
11,hotel_0,2023-07-12 00:00:00,0.7429959510205394
12,hotel_0,2023-07-13 00:00:00,0.7184117144803694
13,hotel_0,2023-07-14 00:00:00,0.8013170008550633
14,hotel_0,2023-07-15 00:00:00,0.8913872154578687
15,hotel_0,2023-07-16 00:00:00,0.6780119630049588
16,hotel_0,2023-07-17 00:00:00,0.7212137722258608
17,hotel_0,2023-07-18 00:00:00,0.7164580004473586
18,hotel_0,2023-07-19 00:00:00,0.6831902193339459
19,hotel_0,2023-07-20 00:00:00,0.7193835346184907
20,hotel_0,2023-07-21 00:00:00,0.8302999754075694
21,hotel_0,2023-07-22 00:00:00,0.8424553745967378
22,hotel_0,2023-07-23 00:00:00,0.5791051244753077
23,hotel_0,2023-07-24 00:00:00,0.7157489004527964
24,hotel_0,2023-07-25 00:00:00,0.7609916862210603
25,hotel_0,2023-07-26 00:00:00,0.7865873659592189
26,hotel_0,2023-07-27 00:00:00,0.7595800740606837
27,hotel_0,2023-07-28 00:00:00,0.7762001231413344
28,hotel_105,2023-07-01 00:00:00,0.9920651981818914
29,hotel_105,2023-07-02 00:00:00,0.8934497559872489
30,hotel_105,2023-07-03 00:00:00,0.9570710639371638
31,hotel_105,2023-07-04 00:00:00,0.9730185715150779
32,hotel_105,2023-07-05 00:00:00,0.9575996798080225
33,hotel_105,2023-07-06 00:00:00,0.8903169529951195
34,hotel_105,2023-07-07 00:00:00,0.9890743977333597
35,hotel_105,2023-07-08 00:00:00,1.0022030809466866
36,hotel_105,2023-07-09 00:00:00,0.8873254036333944
37,hotel_105,2023-07-10 00:00:00,0.9846398485586637
38,hotel_105,2023-07-11 00:00:00,0.9848326197704381
39,hotel_105,2023-07-12 00:00:00,0.981900457667953
40,hotel_105,2023-07-13 00:00:00,0.9505510316155136
41,hotel_105,2023-07-14 00:00:00,0.9584218169501928
42,hotel_105,2023-07-15 00:00:00,0.9488347413478229
43,hotel_105,2023-07-16 00:00:00,0.9036983797519331
44,hotel_105,2023-07-17 00:00:00,0.9797136555135497
45,hotel_105,2023-07-18 00:00:00,0.9359625960733974
46,hotel_105,2023-07-19 00:00:00,0.974883432489557
47,hotel_105,2023-07-20 00:00:00,0.9242713344405196
48,hotel_105,2023-07-21 00:00:00,0.8700822018291546
49,hotel_105,2023-07-22 00:00:00,0.870607763126244
50,hotel_105,2023-07-23 00:00:00,0.9062113073594494
51,hotel_105,2023-07-24 00:00:00,0.9653916586486432
52,hotel_105,2023-07-25 00:00:00,0.9802844954582534
53,hotel_105,2023-07-26 00:00:00,0.997652845468059
54,hotel_105,2023-07-27 00:00:00,0.9684605964859335
55,hotel_105,2023-07-28 00:00:00,0.8514235838212557
56,hotel_112,2023-07-01 00:00:00,0.9062347083388972
57,hotel_112,2023-07-02 00:00:00,0.8551676353501759
58,hotel_112,2023-07-03 00:00:00,0.8979329009090644
59,hotel_112,2023-07-04 00:00:00,0.8596543479419808
