index,unique_id,ds,Naive,SeasonalNaive,AutoETS,AutoARIMA
0,hotel_0,2023-07-01 00:00:00,0.8271604938271605,0.9506172839506173,0.8542002171862775,0.8894995990534879
1,hotel_0,2023-07-02 00:00:00,0.8271604938271605,0.5061728395061729,0.6258887772485338,0.6525592801429422
2,hotel_0,2023-07-03 00:00:00,0.8271604938271605,0.5802469135802469,0.6466666000710888,0.6464262955626798
3,hotel_0,2023-07-04 00:00:00,0.8271604938271605,0.691358024691358,0.6839896656640166,0.7191560445500734
4,hotel_0,2023-07-05 00:00:00,0.8271604938271605,0.654320987654321,0.6812325870362248,0.7016716496331491
5,hotel_0,2023-07-06 00:00:00,0.8271604938271605,0.7160493827160493,0.7182355754828911,0.7304071227372064
6,hotel_0,2023-07-07 00:00:00,0.8271604938271605,0.8271604938271605,0.8220192023642633,0.7759894710696807
7,hotel_0,2023-07-08 00:00:00,0.8271604938271605,0.9506172839506173,0.8542002171862775,0.8238722128073007
8,hotel_0,2023-07-09 00:00:00,0.8271604938271605,0.5061728395061729,0.6258887772485338,0.6538732154285476
9,hotel_0,2023-07-10 00:00:00,0.8271604938271605,0.5802469135802469,0.6466666000710888,0.666945845697229
10,hotel_0,2023-07-11 00:00:00,0.8271604938271605,0.691358024691358,0.6839896656640166,0.7136211342470848
11,hotel_0,2023-07-12 00:00:00,0.8271604938271605,0.654320987654321,0.6812325870362248,0.7001372858194339
12,hotel_0,2023-07-13 00:00:00,0.8271604938271605,0.7160493827160493,0.7182355754828911,0.7222699280857443
13,hotel_0,2023-07-14 00:00:00,0.8271604938271605,0.8271604938271605,0.8220192023642633,0.7601621404026678
14,hotel_0,2023-07-15 00:00:00,0.8271604938271605,0.9506172839506173,0.8542002171862775,0.7887313318411449
15,hotel_0,2023-07-16 00:00:00,0.8271604938271605,0.5061728395061729,0.6258887772485338,0.6839832894658016
16,hotel_0,2023-07-17 00:00:00,0.8271604938271605,0.5802469135802469,0.6466666000710888,0.686991010373236
17,hotel_0,2023-07-18 00:00:00,0.8271604938271605,0.691358024691358,0.6839896656640166,0.7173302995570762
18,hotel_0,2023-07-19 00:00:00,0.8271604938271605,0.654320987654321,0.6812325870362248,0.7092908499467994
19,hotel_0,2023-07-20 00:00:00,0.8271604938271605,0.7160493827160493,0.7182355754828911,0.7224877560458105
20,hotel_0,2023-07-21 00:00:00,0.8271604938271605,0.8271604938271605,0.8220192023642633,0.7443358004916296
21,hotel_0,2023-07-22 00:00:00,0.8271604938271605,0.9506172839506173,0.8542002171862775,0.7636046528836785
22,hotel_0,2023-07-23 00:00:00,0.8271604938271605,0.5061728395061729,0.6258887772485338,0.6941036845451936
23,hotel_0,2023-07-24 00:00:00,0.8271604938271605,0.5802469135802469,0.6466666000710888,0.6977937145414845
24,hotel_0,2023-07-25 00:00:00,0.8271604938271605,0.691358024691358,0.6839896656640166,0.7173934246500844
25,hotel_0,2023-07-26 00:00:00,0.8271604938271605,0.654320987654321,0.6812325870362248,0.7119688584980944
26,hotel_0,2023-07-27 00:00:00,0.8271604938271605,0.7160493827160493,0.7182355754828911,0.720872887779435
27,hotel_0,2023-07-28 00:00:00,0.8271604938271605,0.8271604938271605,0.8220192023642633,0.7358726980163879
28,hotel_105,2023-07-01 00:00:00,1.0,0.9874213836477987,1.0476449387846933,0.9858242225962766
29,hotel_105,2023-07-02 00:00:00,1.0,0.9937106918238994,0.9616544656744862,0.9937180425997397
30,hotel_105,2023-07-03 00:00:00,1.0,1.0188679245283019,1.0073316004594441,1.0068732332877202
31,hotel_105,2023-07-04 00:00:00,1.0,1.0314465408805031,1.0373367269875087,1.0099754377931087
32,hotel_105,2023-07-05 00:00:00,1.0,1.0440251572327044,1.039713682926658,1.013415186349758
33,hotel_105,2023-07-06 00:00:00,1.0,1.0062893081761006,0.9883744022494184,1.011108367066726
34,hotel_105,2023-07-07 00:00:00,1.0,1.0,1.0078429181655375,0.988456055769161
35,hotel_105,2023-07-08 00:00:00,1.0,0.9874213836477987,1.0476449387846933,0.982561539715282
36,hotel_105,2023-07-09 00:00:00,1.0,0.9937106918238994,0.9616544656744862,0.9870102646398383
37,hotel_105,2023-07-10 00:00:00,1.0,1.0188679245283019,1.0073316004594441,0.9989562391585967
38,hotel_105,2023-07-11 00:00:00,1.0,1.0314465408805031,1.0373367269875087,1.0036422677279804
39,hotel_105,2023-07-12 00:00:00,1.0,1.0440251572327044,1.039713682926658,1.0085414267754
40,hotel_105,2023-07-13 00:00:00,1.0,1.0062893081761006,0.9883744022494184,0.9970115025353516
41,hotel_105,2023-07-14 00:00:00,1.0,1.0,1.0078429181655375,0.9869462228491361
42,hotel_105,2023-07-15 00:00:00,1.0,0.9874213836477987,1.0476449387846933,0.9808669776135654
43,hotel_105,2023-07-16 00:00:00,1.0,0.9937106918238994,0.9616544656744862,0.9849372226118231
44,hotel_105,2023-07-17 00:00:00,1.0,1.0188679245283019,1.0073316004594441,0.9932990925810391
45,hotel_105,2023-07-18 00:00:00,1.0,1.0314465408805031,1.0373367269875087,0.996111407137309
46,hotel_105,2023-07-19 00:00:00,1.0,1.0440251572327044,1.039713682926658,0.9991056562791129
47,hotel_105,2023-07-20 00:00:00,1.0,1.0062893081761006,0.9883744022494184,0.9943769303482233
48,hotel_105,2023-07-21 00:00:00,1.0,1.0,1.0078429181655375,0.9843886294327853
49,hotel_105,2023-07-22 00:00:00,1.0,0.9874213836477987,1.0476449387846933,0.9806614398256657
50,hotel_105,2023-07-23 00:00:00,1.0,0.9937106918238994,0.9616544656744862,0.9836481282914438
